,batch_size,cell_type,char_embeddings_dim,char_embeddings_type,clean_f1,clean_n_predicted_entities,clean_n_true_entities,clean_precision,clean_recall,dropout_rate,embeddings_dropout,epochs,filter_width,learning_rate,learning_rate_decay,logging,n_filters,net_type,noise_level,noised_f1,noised_n_predicted_entities,noised_n_true_entities,noised_precision,noised_recall,token_embeddings_dim,use_batch_norm,use_capitalization,use_char_embeddins,use_crf
0,8,,25,cnn,42.15784215784216,2237,3769,56.59365221278498,33.58981162111966,0.5,True,5,7,0.005,0.707,False,"[128, 128]",cnn,0.0,61.874294316898755,1160,1497,70.86206896551724,54.90981963927856,300,True,False,True,True
1,8,,25,cnn,44.53636677007928,2033,3769,63.55140186915888,34.27964977447599,0.5,True,5,7,0.005,0.707,False,"[128, 128]",cnn,0.005,62.29635376260667,1081,1497,74.28307123034227,53.640614562458246,300,True,False,True,True
2,8,,25,cnn,43.503276330509834,2488,3769,54.70257234726688,36.110374104537016,0.5,True,5,7,0.005,0.707,False,"[128, 128]",cnn,0.01,60.0,1203,1497,67.33167082294264,54.10821643286573,300,True,False,True,True
3,8,,25,cnn,43.721709974853304,2196,3769,59.380692167577415,34.5980366144866,0.5,True,5,7,0.005,0.707,False,"[128, 128]",cnn,0.015,60.61302681992337,1113,1497,71.06918238993711,52.839011356045425,300,True,False,True,True
4,8,,25,cnn,42.8125,1991,3769,61.92867905575088,32.71424781109047,0.5,True,5,7,0.005,0.707,False,"[128, 128]",cnn,0.02,60.5476282298496,1096,1497,71.62408759124088,52.438209752839015,300,True,False,True,True
5,8,,25,cnn,43.92851177551361,2218,3769,59.28764652840397,34.889891217829664,0.5,True,5,7,0.005,0.707,False,"[128, 128]",cnn,0.025,60.78356789653861,1132,1497,70.58303886925795,53.37341349365398,300,True,False,True,True
6,8,,25,cnn,43.08254442783591,2252,3769,57.59325044404974,34.412310957813744,0.5,True,5,7,0.005,0.707,False,"[128, 128]",cnn,0.03,58.393604872478114,1130,1497,67.87610619469027,51.235804943219776,300,True,False,True,True
7,8,,25,cnn,42.83327764784497,2217,3769,57.825890843482185,34.01432740780048,0.5,True,5,7,0.005,0.707,False,"[128, 128]",cnn,0.035,58.184580326623625,1136,1497,67.42957746478874,51.1690046760187,300,True,False,True,True
8,8,,25,cnn,43.90749050742147,2025,3769,62.81481481481482,33.74900504112497,0.5,True,5,7,0.005,0.707,False,"[128, 128]",cnn,0.04,58.2942097026604,1059,1497,70.34938621340888,49.76619906479626,300,True,False,True,True
9,8,,25,cnn,44.780686841210475,2113,3769,62.32844297207762,34.94295569116476,0.5,True,5,7,0.005,0.707,False,"[128, 128]",cnn,0.045,58.28075709779179,1039,1497,71.12608277189605,49.36539746158984,300,True,False,True,True
10,8,,25,cnn,43.92887383573243,2136,3769,60.72097378277154,34.412310957813744,0.5,True,5,7,0.005,0.707,False,"[128, 128]",cnn,0.05,56.195043964828145,1005,1497,69.95024875621891,46.96058784235137,300,True,False,True,True
11,8,,25,cnn,44.56134396741898,2124,3769,61.81732580037665,34.83682674449456,0.5,True,5,7,0.005,0.707,False,"[128, 128]",cnn,0.060000000000000005,56.872037914691944,1035,1497,69.56521739130434,48.09619238476954,300,True,False,True,True
12,8,,25,cnn,42.71269177126918,1967,3769,62.27758007117438,32.501989917750066,0.5,True,5,7,0.005,0.707,False,"[128, 128]",cnn,0.07,56.418511066398395,988,1497,70.95141700404858,46.82698730794923,300,True,False,True,True
13,8,,25,cnn,43.17525072242053,2114,3769,60.07568590350047,33.69594056778986,0.5,True,5,7,0.005,0.707,False,"[128, 128]",cnn,0.08000000000000002,53.760789149198516,936,1497,69.87179487179486,43.68737474949899,300,True,False,True,True
14,8,,25,cnn,42.77200749191214,2104,3769,59.6958174904943,33.32448925444415,0.5,True,5,7,0.005,0.707,False,"[128, 128]",cnn,0.09000000000000001,54.25101214574898,973,1497,68.85919835560124,44.7561790247161,300,True,False,True,True
15,8,,25,cnn,43.12779882879779,2037,3769,61.462935689739815,33.21836030777394,0.5,True,5,7,0.005,0.707,False,"[128, 128]",cnn,0.1,55.389584174404526,980,1497,70.0,45.8249832999332,300,True,False,True,True
16,8,,25,cnn,43.66444366444367,1929,3769,64.48937273198548,33.006102414433535,0.5,True,5,7,0.005,0.707,False,"[128, 128]",cnn,0.11000000000000001,54.62924172601592,890,1497,73.25842696629213,43.55377421509686,300,True,False,True,True
17,8,,25,cnn,42.470506592644,1995,3769,61.35338345864662,32.47545768108252,0.5,True,5,7,0.005,0.707,False,"[128, 128]",cnn,0.12000000000000001,51.131028595817334,846,1497,70.80378250591016,40.013360053440216,300,True,False,True,True
18,8,,25,cnn,42.636317309325634,2118,3769,59.254013220018884,33.297957017776596,0.5,True,5,7,0.005,0.707,False,"[128, 128]",cnn,0.13,53.47682119205299,919,1497,70.29379760609358,43.152972611890455,300,True,False,True,True
19,8,,25,cnn,41.7563930013459,2175,3769,57.05747126436781,32.92650570443088,0.5,True,5,7,0.005,0.707,False,"[128, 128]",cnn,0.14,50.663349917081256,915,1497,66.77595628415301,40.81496325985304,300,True,False,True,True
20,8,,25,cnn,41.00601421541826,1718,3769,65.48311990686845,29.84876625099496,0.5,True,5,7,0.005,0.707,False,"[128, 128]",cnn,0.15000000000000002,51.328976034858385,798,1497,73.80952380952381,39.34535738142952,300,True,False,True,True
21,8,,25,cnn,40.84249084249084,1691,3769,65.93731519810763,29.583443884319447,0.5,True,5,7,0.005,0.707,False,"[128, 128]",cnn,0.16000000000000003,50.402144772117964,741,1497,76.11336032388664,37.675350701402806,300,True,False,True,True
22,8,,25,cnn,40.536620739666425,1747,3769,63.99542072123641,29.6630405943221,0.5,True,5,7,0.005,0.707,False,"[128, 128]",cnn,0.17000000000000004,47.51481988144094,696,1497,74.85632183908046,34.80293921175684,300,True,False,True,True
23,8,,25,cnn,40.71284218261988,1674,3769,66.18876941457587,29.39771822764659,0.5,True,5,7,0.005,0.707,False,"[128, 128]",cnn,0.18000000000000005,48.690153568202355,717,1497,75.17433751743376,36.00534402137608,300,True,False,True,True
24,8,,25,cnn,38.92988929889299,1651,3769,63.900666262870985,27.991509684266383,0.5,True,5,7,0.005,0.707,False,"[128, 128]",cnn,0.19,47.177604405690694,682,1497,75.36656891495602,34.33533734134937,300,True,False,True,True
25,8,,25,cnn,40.90747961715704,1873,3769,61.61238654564869,30.61820111435394,0.5,True,5,7,0.005,0.707,False,"[128, 128]",cnn,0.2,48.501118568232656,738,1497,73.44173441734418,36.205744822979284,300,True,False,True,True
